datetime,Chicago
2/16/2016,269.87
2/16/2016,269.71
2/16/2016,269.45
2/16/2016,270.87
2/16/2016,270.92
2/16/2016,271.34
2/16/2016,271.97
2/16/2016,273.20
2/16/2016,273.41
2/16/2016,273.12
2/16/2016,273.02
2/16/2016,272.69
2/17/2016,272.50
2/17/2016,272.30
2/17/2016,271.93
2/17/2016,271.93
2/17/2016,271.68
2/17/2016,271.04
2/17/2016,271.09
2/17/2016,270.95
2/17/2016,270.46
2/17/2016,270.03
2/17/2016,269.34
2/17/2016,269.15
2/17/2016,269.14
2/17/2016,267.35
2/17/2016,268.14
2/17/2016,269.15
2/17/2016,270.26
2/17/2016,270.54
2/17/2016,272.44
2/17/2016,272.89
2/17/2016,273.79
2/17/2016,273.11
2/17/2016,272.21
2/17/2016,272.13
2/18/2016,269.92
2/18/2016,268.84
2/18/2016,268.35
2/18/2016,268.06
2/18/2016,267.90
2/18/2016,268.29
2/18/2016,268.38
2/18/2016,269.48
2/18/2016,269.47
2/18/2016,269.47
2/18/2016,267.71
2/18/2016,269.15
2/18/2016,269.38
2/18/2016,269.63
2/18/2016,269.80
2/18/2016,271.40
2/18/2016,272.86
2/18/2016,274.51
2/18/2016,276.27
2/18/2016,276.43
2/18/2016,277.29
2/18/2016,277.32
2/18/2016,277.36
2/18/2016,276.18
2/19/2016,276.95
2/19/2016,276.94
2/19/2016,276.93
2/19/2016,277.03
2/19/2016,277.13
2/19/2016,276.89
2/19/2016,277.84
2/19/2016,277.85
2/19/2016,278.36
2/19/2016,279.89
2/19/2016,280.36
2/19/2016,280.86
2/19/2016,281.16
2/19/2016,281.53
2/19/2016,281.60
2/19/2016,285.07
2/19/2016,285.29
2/19/2016,286.75
2/19/2016,287.35
2/19/2016,288.53
2/19/2016,288.35
2/19/2016,288.19
2/19/2016,283.33
2/19/2016,285.21
2/20/2016,284.43
2/20/2016,283.53
2/20/2016,281.72
2/20/2016,282.03
2/20/2016,281.75
2/20/2016,281.45
2/20/2016,280.52
2/20/2016,279.94
2/20/2016,279.89
2/20/2016,279.02
2/20/2016,278.72
2/20/2016,278.36
2/20/2016,279.15
2/20/2016,280.39
2/20/2016,280.11
2/20/2016,283.87
2/20/2016,283.92
2/20/2016,285.03
2/20/2016,285.67
2/20/2016,286.94
2/20/2016,287.62
2/20/2016,287.55
2/20/2016,287.44
2/20/2016,284.76
2/21/2016,284.49
2/21/2016,282.31
2/21/2016,278.72
2/21/2016,278.72
2/21/2016,278.22
2/21/2016,278.20
2/21/2016,277.77
2/21/2016,276.79
2/21/2016,276.37
2/21/2016,276.26
2/21/2016,275.97
2/21/2016,275.40
2/21/2016,275.93
2/21/2016,276.04
2/21/2016,276.19
2/21/2016,276.64
2/21/2016,277.34
2/21/2016,278.35
2/21/2016,278.35
2/21/2016,277.69
2/21/2016,277.76
2/21/2016,277.60
2/21/2016,277.16
2/21/2016,276.00
2/22/2016,276.00
2/22/2016,274.99
2/22/2016,274.88
2/22/2016,274.37
2/22/2016,274.37
2/22/2016,273.49
2/22/2016,272.70
2/22/2016,272.12
2/22/2016,271.39
2/22/2016,271.28
2/22/2016,271.28
2/22/2016,270.75
2/22/2016,271.04
2/22/2016,271.89
2/22/2016,271.99
2/22/2016,274.06
2/22/2016,277.51
2/22/2016,277.47
2/22/2016,278.65
2/22/2016,278.73
2/22/2016,279.09
